순번,제품군,스마트타입,시리즈,미디어,제조사(한),제조사(EN),모델(표시),섀시코드,연식(中),연식(EN),세부분류(한),Category(EN),앰비언트세부,부속옵션,구성·특징(中),구성·특징(한),Config(EN),세트(中),세트(EN),등수(灯),핸들(中),핸들(한),핸들(EN),호환차종(中),워터마크,비고,원본파일명,표준파일명,분류경로,해상도(px),용량(MB),썸네일
1,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,S클래스,,05-13款,2005-2013,앰비언트 라이트,Ambient-Light,등수형,,氛围灯 动态光影 幻彩,앰비언트라이트 다이내믹 환색,Ambient-Light-Dynamic-RGB,,,,,,,,Y,,(1) 05-13款奔驰S级氛围灯（幻彩） (动态光影)（水印版）.jpg,001_Mercedes-Benz_S-Class_2005-2013_Ambient-Light-Dynamic-RGB.jpg,images/01_Ambient-Light/Mercedes-Benz/S-Class/2005-2013/001_Mercedes-Benz_S-Class_2005-2013_Ambient-Light-Dynamic-RGB.jpg,2000x2000,1.13,thumbs/001_Mercedes-Benz_S-Class_2005-2013_Ambient-Light-Dynamic-RGB.jpg
2,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,S클래스,,14-20款,2014-2020,앰비언트 라이트,Ambient-Light,등수형,,氛围灯 幻彩,앰비언트라이트 환색,Ambient-Light-RGB,,,20,,,,,Y,,(8)14-20款奔驰S级氛围灯（幻彩）-20灯（水印版）.jpg,002_Mercedes-Benz_S-Class_2014-2020_Ambient-Light-RGB_20L.jpg,images/01_Ambient-Light/Mercedes-Benz/S-Class/2014-2020/002_Mercedes-Benz_S-Class_2014-2020_Ambient-Light-RGB_20L.jpg,2000x2000,1.09,thumbs/002_Mercedes-Benz_S-Class_2014-2020_Ambient-Light-RGB_20L.jpg
3,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,S클래스,,05-13款,2005-2013,앰비언트 라이트,Ambient-Light,등수형,,,,,,,18,,,,,Y,,05-13款奔驰S级-18灯（水印版）.jpg,003_Mercedes-Benz_S-Class_2005-2013_18L.jpg,images/01_Ambient-Light/Mercedes-Benz/S-Class/2005-2013/003_Mercedes-Benz_S-Class_2005-2013_18L.jpg,2000x2000,1.08,thumbs/003_Mercedes-Benz_S-Class_2005-2013_18L.jpg
4,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,S클래스,,05-13款,2005-2013,앰비언트 라이트,Ambient-Light,등수형,,氛围灯 幻彩,앰비언트라이트 환색,Ambient-Light-RGB,,,18,,,,,Y,,05-13款奔驰S级氛围灯（幻彩）-18灯（水印版）.jpg,004_Mercedes-Benz_S-Class_2005-2013_Ambient-Light-RGB_18L.jpg,images/01_Ambient-Light/Mercedes-Benz/S-Class/2005-2013/004_Mercedes-Benz_S-Class_2005-2013_Ambient-Light-RGB_18L.jpg,2000x2000,1.12,thumbs/004_Mercedes-Benz_S-Class_2005-2013_Ambient-Light-RGB_18L.jpg
5,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,S클래스,,05-13款,2005-2013,앰비언트 라이트,Ambient-Light,등수형,,氛围灯 动态光影 幻彩,앰비언트라이트 다이내믹 환색,Ambient-Light-Dynamic-RGB,,,18,,,,,Y,,05-13款奔驰S级氛围灯（幻彩）动态光影-18灯（水印版）.jpg,005_Mercedes-Benz_S-Class_2005-2013_Ambient-Light-Dynamic-RGB_18L.jpg,images/01_Ambient-Light/Mercedes-Benz/S-Class/2005-2013/005_Mercedes-Benz_S-Class_2005-2013_Ambient-Light-Dynamic-RGB_18L.jpg,2000x2000,1.11,thumbs/005_Mercedes-Benz_S-Class_2005-2013_Ambient-Light-Dynamic-RGB_18L.jpg
6,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,S클래스,,05-13款,2005-2013,앰비언트 라이트,Ambient-Light,등수형,,氛围灯 星空飘带 星空 幻彩,앰비언트라이트 스타라이트리본 스타라이트 환색,Ambient-Light-Star-Ribbon-Starlight-RGB,,,18,,,,,Y,,05-13款奔驰S级氛围灯（幻彩）星空飘带款-18灯（水印版）.jpg,006_Mercedes-Benz_S-Class_2005-2013_Ambient-Light-Star-Ribbon-Starlight-RGB_18L.jpg,images/01_Ambient-Light/Mercedes-Benz/S-Class/2005-2013/006_Mercedes-Benz_S-Class_2005-2013_Ambient-Light-Star-Ribbon-Starlight-RGB_18L.jpg,2000x2000,1.21,thumbs/006_Mercedes-Benz_S-Class_2005-2013_Ambient-Light-Star-Ribbon-Starlight-RGB_18L.jpg
7,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,S클래스,,05-13款,2005-2013,앰비언트 라이트,Ambient-Light,등수형,,幻彩,환색,RGB,,,,,,,,Y,,05-13款奔驰S级（幻彩）（水印版）.jpg,007_Mercedes-Benz_S-Class_2005-2013_RGB.jpg,images/01_Ambient-Light/Mercedes-Benz/S-Class/2005-2013/007_Mercedes-Benz_S-Class_2005-2013_RGB.jpg,2000x2000,1.13,thumbs/007_Mercedes-Benz_S-Class_2005-2013_RGB.jpg
8,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,R클래스,,06-17款,2006-2017,앰비언트 라이트,Ambient-Light,등수형,,氛围灯 星涟 幻彩,앰비언트라이트 스타리플 환색,Ambient-Light-Star-Ripple-RGB,,,19,,,,,Y,,06-17款奔驰R级氛围灯（幻彩）星涟款-19灯（水印版）.jpg,008_Mercedes-Benz_R-Class_2006-2017_Ambient-Light-Star-Ripple-RGB_19L.jpg,images/01_Ambient-Light/Mercedes-Benz/R-Class/2006-2017/008_Mercedes-Benz_R-Class_2006-2017_Ambient-Light-Star-Ripple-RGB_19L.jpg,2000x2000,1.34,thumbs/008_Mercedes-Benz_R-Class_2006-2017_Ambient-Light-Star-Ripple-RGB_19L.jpg
9,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,R클래스,,06-17款,2006-2017,앰비언트 라이트,Ambient-Light,등수형,,氛围灯 银河 幻彩,앰비언트라이트 갤럭시 환색,Ambient-Light-Galaxy-RGB,,,19,,,,,Y,,06-17款奔驰R级氛围灯（幻彩）银河款-19灯（水印版）.jpg,009_Mercedes-Benz_R-Class_2006-2017_Ambient-Light-Galaxy-RGB_19L.jpg,images/01_Ambient-Light/Mercedes-Benz/R-Class/2006-2017/009_Mercedes-Benz_R-Class_2006-2017_Ambient-Light-Galaxy-RGB_19L.jpg,2000x2000,1.42,thumbs/009_Mercedes-Benz_R-Class_2006-2017_Ambient-Light-Galaxy-RGB_19L.jpg
10,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,GLK,,08-11款,2008-2011,앰비언트 라이트,Ambient-Light,등수형,,氛围灯 魔方 幻彩,앰비언트라이트 매직큐브 환색,Ambient-Light-Magic-Cube-RGB,,,22,,,,,Y,,08-11款奔驰GLK氛围灯（幻彩）魔方款-22灯（水印版）.jpg,010_Mercedes-Benz_GLK_2008-2011_Ambient-Light-Magic-Cube-RGB_22L.jpg,images/01_Ambient-Light/Mercedes-Benz/GLK/2008-2011/010_Mercedes-Benz_GLK_2008-2011_Ambient-Light-Magic-Cube-RGB_22L.jpg,2000x2000,1.19,thumbs/010_Mercedes-Benz_GLK_2008-2011_Ambient-Light-Magic-Cube-RGB_22L.jpg
